N,meshComplexity,renderingMode,repeat,fpsAvg,fps1pcLow,frameTimeMs,mainThreadMs,renderThreadMs,gpuMs,totalReservedMB,gfxReservedMB,gcReservedMB,peakReservedMB,batches,drawCalls,triangles,vertices
5000,Low,GPUInstancing,2,520.05,402.07,1.928,1.923,-1.000,1.335,1211.5,253.9,31.5,1216.6,11,11,560002,290004
5000,Low,GPUInstancing,3,519.87,395.48,1.929,1.924,-1.000,1.335,1212.0,253.9,31.9,1214.9,11,11,560002,290004
10000,Low,GPUInstancing,1,277.68,225.88,3.606,3.601,-1.000,2.268,1341.2,253.9,31.8,1344.6,21,21,1120002,580004
10000,Low,GPUInstancing,2,273.72,227.29,3.658,3.653,-1.000,2.267,1339.6,253.9,31.1,1346.6,21,21,1120002,580004
10000,Low,GPUInstancing,3,273.18,221.31,3.666,3.661,-1.000,2.267,1341.0,253.9,30.9,1345.4,21,21,1120002,580004
100,Mid,GPUInstancing,1,1986.61,1058.68,0.511,0.507,-1.000,0.388,1328.6,253.9,32.9,1337.7,2,2,174002,87204
100,Mid,GPUInstancing,2,1984.05,1060.76,0.512,0.508,-1.000,0.388,1327.1,253.9,33.1,1331.8,2,2,174002,87204
100,Mid,GPUInstancing,3,1984.61,1067.98,0.512,0.507,-1.000,0.390,1326.9,253.9,32.9,1330.6,2,2,174002,87204
500,Mid,GPUInstancing,1,1617.49,907.10,0.627,0.623,-1.000,0.476,1328.9,253.9,32.6,1333.8,2,2,870002,436004
500,Mid,GPUInstancing,2,1619.53,912.18,0.627,0.622,-1.000,0.475,1329.2,253.9,32.8,1334.2,2,2,870002,436004
500,Mid,GPUInstancing,3,1619.20,908.22,0.627,0.622,-1.000,0.476,1328.9,253.9,32.5,1332.6,2,2,870002,436004
1000,Mid,GPUInstancing,1,1274.83,764.80,0.795,0.790,-1.000,0.754,1334.7,253.9,32.5,1339.4,3,3,1740002,872004
1000,Mid,GPUInstancing,2,1197.06,718.28,0.845,0.840,-1.000,0.749,1334.6,253.9,32.2,1339.3,3,3,1740002,872004
1000,Mid,GPUInstancing,3,1180.45,709.88,0.857,0.852,-1.000,0.742,1335.1,253.9,32.5,1343.2,3,3,1740002,872004
5000,Mid,GPUInstancing,1,343.74,254.19,2.927,2.923,-1.000,3.146,1348.6,257.9,34.3,1354.8,11,11,8700002,4360004
5000,Mid,GPUInstancing,2,346.15,251.77,2.908,2.904,-1.000,3.126,1345.4,257.9,30.9,1348.8,11,11,8700002,4360004
5000,Mid,GPUInstancing,3,347.99,249.30,2.892,2.888,-1.000,3.111,1345.1,257.9,30.9,1347.9,11,11,8700002,4360004
10000,Mid,GPUInstancing,1,198.74,67.05,5.725,5.720,-1.000,6.108,1350.8,257.9,31.7,1359.8,21,21,17400002,8720004
10000,Mid,GPUInstancing,2,198.40,68.85,5.720,5.715,-1.000,6.116,1348.9,257.8,30.8,1355.7,21,21,17400002,8720004
10000,Mid,GPUInstancing,3,200.36,66.20,5.720,5.715,-1.000,6.116,1346.2,257.9,30.3,1351.6,21,21,17400002,8720004
100,High,GPUInstancing,1,1417.15,769.64,0.720,0.715,-1.000,0.818,1335.9,257.9,32.1,1343.7,2,2,1980002,990204
100,High,GPUInstancing,2,1419.37,757.75,0.719,0.714,-1.000,0.817,1330.6,257.9,32.3,1335.5,2,2,1980002,990204
100,High,GPUInstancing,3,1418.96,759.23,0.719,0.714,-1.000,0.817,1331.1,257.9,32.7,1335.8,2,2,1980002,990204
500,High,GPUInstancing,1,324.19,136.05,3.399,3.391,-1.000,3.537,1334.2,257.9,33.9,1339.5,2,2,9900002,4951004
500,High,GPUInstancing,2,304.54,175.19,3.399,3.391,-1.000,3.538,1330.0,257.9,30.5,1332.2,2,2,9900002,4951004
500,High,GPUInstancing,3,365.67,133.83,3.398,3.391,-1.000,3.536,1329.6,257.9,30.0,1331.6,2,2,9900002,4951004
1000,High,GPUInstancing,1,189.78,54.39,6.714,6.705,-1.000,6.874,1334.2,257.9,30.8,1335.7,3,3,19800002,9902004
1000,High,GPUInstancing,2,198.25,54.09,6.707,6.698,-1.000,6.871,1333.0,257.9,29.5,1334.2,3,3,19800002,9902004
1000,High,GPUInstancing,3,192.58,53.86,6.708,6.699,-1.000,6.870,1332.9,257.9,29.5,1333.3,3,3,19800002,9902004
5000,High,GPUInstancing,1,112.94,14.86,33.122,33.117,-1.000,33.344,1345.2,257.9,30.5,1348.8,11,11,99000002,49510004
5000,High,GPUInstancing,2,118.08,14.89,33.080,33.076,-1.000,33.348,1347.7,257.9,30.5,1351.8,11,11,99000002,49510004
5000,High,GPUInstancing,3,126.11,14.90,33.094,33.090,-1.000,33.352,1349.9,257.9,29.7,1352.1,11,11,99000002,49510004
10000,High,GPUInstancing,1,54.22,7.47,65.629,65.624,-1.000,66.252,1357.8,257.9,28.5,1362.8,21,21,198000002,99020004
10000,High,GPUInstancing,2,56.25,7.47,65.768,65.763,-1.000,66.248,1377.6,257.9,28.7,1381.0,21,21,198000002,99020004
10000,High,GPUInstancing,3,54.57,7.47,65.800,65.795,-1.000,66.250,1380.2,257.9,28.7,1382.0,21,21,198000002,99020004
100,Low,StaticBatching,1,1886.27,168.96,0.697,0.692,-1.000,0.623,1344.6,254.6,32.0,1361.3,2,2,11202,5804
100,Low,StaticBatching,2,1997.27,1096.03,0.508,0.504,-1.000,0.385,1341.8,253.9,33.0,1346.1,2,2,11202,5804
100,Low,StaticBatching,3,1996.63,1085.62,0.509,0.504,-1.000,0.385,1341.2,253.9,32.9,1344.6,2,2,11202,5804
500,Low,StaticBatching,1,1676.01,1016.18,0.604,0.599,-1.000,0.459,1343.4,253.9,33.0,1347.0,2,2,56002,29004
500,Low,StaticBatching,2,1677.35,1038.84,0.603,0.598,-1.000,0.458,1343.2,253.9,32.9,1347.0,2,2,56002,29004
500,Low,StaticBatching,3,1676.10,1008.91,0.604,0.599,-1.000,0.456,1343.3,253.9,32.9,1346.8,2,2,56002,29004
1000,Low,StaticBatching,1,1437.04,890.59,0.703,0.698,-1.000,0.531,1365.0,253.9,32.6,1368.7,2,2,112002,58004
1000,Low,StaticBatching,2,1427.92,903.15,0.706,0.702,-1.000,0.537,1364.8,253.9,32.8,1367.8,2,2,112002,58004
1000,Low,StaticBatching,3,1436.47,905.95,0.703,0.698,-1.000,0.531,1364.9,253.9,32.5,1369.1,2,2,112002,58004
5000,Low,StaticBatching,1,673.62,466.54,1.491,1.486,-1.000,1.093,1369.8,253.9,32.4,1377.2,6,6,560002,290004
5000,Low,StaticBatching,2,655.22,467.09,1.532,1.527,-1.000,1.098,1370.4,253.9,32.5,1374.2,6,6,560002,290004
5000,Low,StaticBatching,3,658.01,466.21,1.525,1.521,-1.000,1.092,1370.8,253.9,32.3,1376.2,6,6,560002,290004
10000,Low,StaticBatching,1,366.35,168.99,2.772,2.768,-1.000,1.940,1388.1,253.9,32.9,1397.8,11,11,1120002,580004
10000,Low,StaticBatching,2,363.35,275.20,2.768,2.763,-1.000,1.984,1385.4,253.9,31.3,1389.6,11,11,1120002,580004
10000,Low,StaticBatching,3,364.43,275.89,2.761,2.756,-1.000,1.983,1641.8,253.9,32.6,1648.5,11,11,1120002,580004
100,Mid,StaticBatching,1,1997.97,1087.64,0.508,0.504,-1.000,0.386,1632.3,253.9,32.7,1636.6,3,3,174002,87204
100,Mid,StaticBatching,2,1998.13,1078.83,0.508,0.504,-1.000,0.387,1630.2,253.9,32.9,1633.9,3,3,174002,87204
100,Mid,StaticBatching,3,1998.07,1096.14,0.508,0.504,-1.000,0.386,1630.5,253.9,33.0,1634.0,3,3,174002,87204
500,Mid,StaticBatching,1,1700.60,982.38,0.596,0.592,-1.000,0.454,1632.1,253.9,32.7,1639.8,8,8,870002,436004
500,Mid,StaticBatching,2,1682.56,461.41,0.613,0.608,-1.000,0.455,1632.0,253.9,32.6,1637.6,8,8,870002,436004
500,Mid,StaticBatching,3,1702.98,938.22,0.596,0.592,-1.000,0.455,1632.2,253.9,32.8,1639.4,8,8,870002,436004
1000,Mid,StaticBatching,1,1321.39,783.49,0.767,0.762,-1.000,0.830,1653.8,254.2,32.2,1661.5,15,15,1740002,872004
1000,Mid,StaticBatching,2,1196.37,710.92,0.846,0.840,-1.000,0.776,1653.5,253.9,32.1,1657.5,15,15,1740002,872004
1000,Mid,StaticBatching,3,1156.57,694.84,0.876,0.870,-1.000,0.767,1653.7,253.9,32.3,1661.8,15,15,1740002,872004
5000,Mid,StaticBatching,1,380.22,140.43,3.100,3.095,-1.000,3.341,1813.4,257.9,33.1,1820.9,70,70,8700002,4360004
5000,Mid,StaticBatching,2,330.99,167.40,3.077,3.073,-1.000,3.316,1809.3,257.9,30.9,1813.9,70,70,8700002,4360004
5000,Mid,StaticBatching,3,351.63,144.30,3.040,3.035,-1.000,3.285,1809.4,257.9,31.5,1814.3,70,70,8700002,4360004
10000,Mid,StaticBatching,1,241.33,57.58,5.586,5.580,-1.000,5.673,1998.1,251.9,31.7,2012.3,0,0,0,0
10000,Mid,StaticBatching,2,186.89,61.07,5.981,5.976,-1.000,6.359,2010.3,257.8,30.9,2016.4,138,138,17400002,8720004
10000,Mid,StaticBatching,3,186.76,61.10,5.998,5.992,-1.000,6.364,2006.9,257.8,30.4,2014.0,138,138,17400002,8720004
100,High,StaticBatching,1,998.56,414.28,1.067,1.062,-1.000,0.829,1700.3,253.9,31.1,1709.7,18,18,1980002,990204
100,High,StaticBatching,2,998.49,411.86,1.067,1.062,-1.000,0.829,1680.8,253.9,31.4,1682.5,18,18,1980002,990204
100,High,StaticBatching,3,992.62,391.60,1.077,1.072,-1.000,0.829,1680.7,253.9,31.3,1685.2,18,18,1980002,990204
500,High,StaticBatching,1,307.53,168.11,3.484,3.480,-1.000,3.662,1849.8,257.9,31.5,1851.6,85,85,9900002,4951004
500,High,StaticBatching,2,330.94,130.11,3.485,3.481,-1.000,3.663,1849.1,257.9,30.2,1851.3,85,85,9900002,4951004
500,High,StaticBatching,3,357.34,123.49,3.486,3.482,-1.000,3.668,1848.3,257.9,29.9,1850.6,85,85,9900002,4951004
1000,High,StaticBatching,1,274.73,54.32,6.892,6.888,-1.000,7.137,2062.4,257.8,30.7,2065.0,168,168,19800002,9902004
1000,High,StaticBatching,2,277.36,54.22,6.903,6.899,-1.000,7.111,2061.9,257.9,29.5,2063.3,168,168,19800002,9902004
1000,High,StaticBatching,3,236.87,67.32,5.265,5.258,-1.000,5.366,2052.4,249.4,29.2,2053.3,0,0,0,0
5000,High,StaticBatching,1,80.76,34.51,14.740,14.731,-1.000,14.838,3866.5,249.4,30.1,3869.2,0,0,0,0
5000,High,StaticBatching,2,169.23,29.66,14.885,14.881,-1.000,14.971,3868.4,249.4,29.3,3869.2,0,0,0,0
5000,High,StaticBatching,3,162.06,14.17,16.548,16.544,-1.000,16.522,3868.5,249.7,28.8,3881.9,0,0,0,0
10000,High,StaticBatching,1,41.06,6.99,68.920,68.914,-1.000,65.881,6179.8,257.9,28.8,6196.2,1668,1668,198000002,99020004
10000,High,StaticBatching,2,36.74,7.04,69.047,69.040,-1.000,66.289,6291.4,257.9,28.8,6296.1,1668,1668,198000002,99020004
10000,High,StaticBatching,3,42.46,7.03,69.141,69.134,-1.000,69.561,6277.3,257.9,28.7,6279.1,1668,1668,198000002,99020004
